Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
Panic disorder without agoraphobia,A3700,Whooping cough due to Bordetella pertussis without pneumonia,85.5,,Fuzzy matched to: 'Whooping cough due to Bordetella pertussis without pneumonia' with score 85.5
"Alcohol abuse with intoxication, unspecified",F10129,"Alcohol abuse with intoxication, unspecified",100.0,,"Fuzzy matched to: 'Alcohol abuse with intoxication, unspecified' with score 100.0"
"Schizophrenia, unspecified",F209,"Schizophrenia, unspecified",100.0,,"Fuzzy matched to: 'Schizophrenia, unspecified' with score 100.0"
Unspecified viral hepatitis C without hepatic coma,B1920,Unspecified viral hepatitis C without hepatic coma,100.0,,Fuzzy matched to: 'Unspecified viral hepatitis C without hepatic coma' with score 100.0
"Personal history of noncompliance with medical treatment, presenting hazards to health",A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
"Other psychoactive substance abuse, uncomplicated",F1910,"Other psychoactive substance abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Other psychoactive substance abuse, uncomplicated' with score 100.0"
Chronic hepatitis C without mention of hepatic coma,B1710,Acute hepatitis C without hepatic coma,86.85714285714286,,Fuzzy matched to: 'Acute hepatitis C without hepatic coma' with score 86.85714285714286
Mononeuritis of unspecified site,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Cocaine abuse, uncomplicated",F1410,"Cocaine abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Cocaine abuse, uncomplicated' with score 100.0"
"Nicotine dependence, unspecified, uncomplicated",F17200,"Nicotine dependence, unspecified, uncomplicated",100.0,,"Fuzzy matched to: 'Nicotine dependence, unspecified, uncomplicated' with score 100.0"
Lack of housing,A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
Other chronic pain,G8929,Other chronic pain,100.0,,Fuzzy matched to: 'Other chronic pain' with score 100.0
"Cocaine use, unspecified, uncomplicated",F1490,"Cocaine use, unspecified, uncomplicated",100.0,,"Fuzzy matched to: 'Cocaine use, unspecified, uncomplicated' with score 100.0"
"Alcohol abuse, unspecified",F1090,"Alcohol use, unspecified, uncomplicated",86.4,,"Fuzzy matched to: 'Alcohol use, unspecified, uncomplicated' with score 86.4"
Acidosis,E8720,"Acidosis, unspecified",90.0,,"Fuzzy matched to: 'Acidosis, unspecified' with score 90.0"
Asymptomatic human immunodeficiency virus [HIV] infection status,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,100.0,,Fuzzy matched to: 'Asymptomatic human immunodeficiency virus [HIV] infection status' with score 100.0
Unspecified mood [affective] disorder,F39,Unspecified mood [affective] disorder,100.0,,Fuzzy matched to: 'Unspecified mood [affective] disorder' with score 100.0
"Hypoglycemia, unspecified",E162,"Hypoglycemia, unspecified",100.0,,"Fuzzy matched to: 'Hypoglycemia, unspecified' with score 100.0"
Personal history of nicotine dependence,Z87891,Personal history of nicotine dependence,100.0,,Fuzzy matched to: 'Personal history of nicotine dependence' with score 100.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Homelessness,Z5900,Homelessness unspecified,90.0,,Fuzzy matched to: 'Homelessness unspecified' with score 90.0
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Drug-induced mood disorder,D47Z1,Post-transplant lymphoproliferative disorder (PTLD),85.5,,Fuzzy matched to: 'Post-transplant lymphoproliferative disorder (PTLD)' with score 85.5
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Other specified hypoglycemia,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
"Alcohol abuse, uncomplicated",F1010,"Alcohol abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Alcohol abuse, uncomplicated' with score 100.0"
Unspecified psychosis,B49,Unspecified mycosis,90.0,,Fuzzy matched to: 'Unspecified mycosis' with score 90.0
Hallucinations,R443,"Hallucinations, unspecified",90.0,,"Fuzzy matched to: 'Hallucinations, unspecified' with score 90.0"
Suicidal ideation,R45851,Suicidal ideations,97.14285714285714,,Fuzzy matched to: 'Suicidal ideations' with score 97.14285714285714
"Nystagmus, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
"Decreased white blood cell count, unspecified",D72819,"Decreased white blood cell count, unspecified",100.0,,"Fuzzy matched to: 'Decreased white blood cell count, unspecified' with score 100.0"
"Unspecified injury of head, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Cocaine abuse, unspecified",F1413,"Cocaine abuse, unspecified with withdrawal",90.0,,"Fuzzy matched to: 'Cocaine abuse, unspecified with withdrawal' with score 90.0"
"Opioid abuse, in remission",F1111,"Opioid abuse, in remission",100.0,,"Fuzzy matched to: 'Opioid abuse, in remission' with score 100.0"
Headache,G4482,Headache associated with sexual activity,90.0,,Fuzzy matched to: 'Headache associated with sexual activity' with score 90.0
"Opioid abuse, uncomplicated",F1110,"Opioid abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Opioid abuse, uncomplicated' with score 100.0"
Suicidal ideations,R45851,Suicidal ideations,100.0,,Fuzzy matched to: 'Suicidal ideations' with score 100.0
"Alcohol dependence with withdrawal, unspecified",F10239,"Alcohol dependence with withdrawal, unspecified",100.0,,"Fuzzy matched to: 'Alcohol dependence with withdrawal, unspecified' with score 100.0"
Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease,100.0,,Fuzzy matched to: 'Human immunodeficiency virus [HIV] disease' with score 100.0
Patient's other noncompliance with medication regimen,Z91141,Patient's other noncompliance with medication regimen due to financial hardship,95.0,,Fuzzy matched to: 'Patient's other noncompliance with medication regimen due to financial hardship' with score 95.0
Unspecified place or not applicable,Y929,Unspecified place or not applicable,100.0,,Fuzzy matched to: 'Unspecified place or not applicable' with score 100.0
"Other, mixed, or unspecified drug abuse, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Dysmenorrhea,N946,"Dysmenorrhea, unspecified",90.0,,"Fuzzy matched to: 'Dysmenorrhea, unspecified' with score 90.0"
"Alcohol use, unspecified with unspecified alcohol-induced disorder",F1099,"Alcohol use, unspecified with unspecified alcohol-induced disorder",100.0,,"Fuzzy matched to: 'Alcohol use, unspecified with unspecified alcohol-induced disorder' with score 100.0"
Cervicalgia,M542,Cervicalgia,100.0,,Fuzzy matched to: 'Cervicalgia' with score 100.0
"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",100.0,,"Fuzzy matched to: 'Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder' with score 100.0"
"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",A0471,"Enterocolitis due to Clostridium difficile, recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, recurrent' with score 85.5"
Unemployment,Z560,"Unemployment, unspecified",90.0,,"Fuzzy matched to: 'Unemployment, unspecified' with score 90.0"
"Unspecified fall, initial encounter",A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Nicotine dependence, cigarettes, uncomplicated",F17210,"Nicotine dependence, cigarettes, uncomplicated",100.0,,"Fuzzy matched to: 'Nicotine dependence, cigarettes, uncomplicated' with score 100.0"
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
Intracerebral hemorrhage,I618,Other nontraumatic intracerebral hemorrhage,88.08510638297872,,Fuzzy matched to: 'Other nontraumatic intracerebral hemorrhage' with score 88.08510638297872
Obstructive hydrocephalus,G911,Obstructive hydrocephalus,100.0,,Fuzzy matched to: 'Obstructive hydrocephalus' with score 100.0
Physical restraints status,Z781,Physical restraint status,98.0392156862745,,Fuzzy matched to: 'Physical restraint status' with score 98.0392156862745
Diverticulosis of colon (without mention of hemorrhage),A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Unspecified hemorrhoids with other complication,K649,Unspecified hemorrhoids,90.0,,Fuzzy matched to: 'Unspecified hemorrhoids' with score 90.0
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Do not resuscitate status,Z66,Do not resuscitate,95.0,,Fuzzy matched to: 'Do not resuscitate' with score 95.0
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
Alcohol withdrawal delirium,F10131,Alcohol abuse with withdrawal delirium,95.0,,Fuzzy matched to: 'Alcohol abuse with withdrawal delirium' with score 95.0
Hemorrhage complicating a procedure,A190,Acute miliary tuberculosis of a single specified site,85.5,,Fuzzy matched to: 'Acute miliary tuberculosis of a single specified site' with score 85.5
"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Intermediate coronary syndrome,A483,Toxic shock syndrome,85.5,,Fuzzy matched to: 'Toxic shock syndrome' with score 85.5
Phlebitis and thrombophlebitis of superficial veins of upper extremities,I8002,Phlebitis and thrombophlebitis of superficial vessels of left lower extremity,85.90604026845638,,Fuzzy matched to: 'Phlebitis and thrombophlebitis of superficial vessels of left lower extremity' with score 85.90604026845638
Percutaneous transluminal coronary angioplasty status,Z9861,Coronary angioplasty status,88.30188679245283,,Fuzzy matched to: 'Coronary angioplasty status' with score 88.30188679245283
"Other and unspecified alcohol dependence, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Accidental fall from bed,D596,Hemoglobinuria due to hemolysis from other external causes,85.5,,Fuzzy matched to: 'Hemoglobinuria due to hemolysis from other external causes' with score 85.5
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Pain in joint, shoulder region",B5739,Other digestive system involvement in Chagas' disease,85.5,,Fuzzy matched to: 'Other digestive system involvement in Chagas' disease' with score 85.5
"Cardiac complications, not elsewhere classified",B08011,Vaccinia not from vaccine,85.5,,Fuzzy matched to: 'Vaccinia not from vaccine' with score 85.5
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Essential (primary) hypertension,I10,Essential (primary) hypertension,100.0,,Fuzzy matched to: 'Essential (primary) hypertension' with score 100.0
"Schizophrenia, unspecified",F209,"Schizophrenia, unspecified",100.0,,"Fuzzy matched to: 'Schizophrenia, unspecified' with score 100.0"
"Allergic rhinitis, unspecified",J309,"Allergic rhinitis, unspecified",100.0,,"Fuzzy matched to: 'Allergic rhinitis, unspecified' with score 100.0"
"Other displaced fracture of upper end of right humerus, subsequent encounter for fracture with routine healing",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Other place in hospital as the place of occurrence of the external cause,Y92238,Other place in hospital as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Other place in hospital as the place of occurrence of the external cause' with score 100.0
Postprocedural pneumothorax,J95811,Postprocedural pneumothorax,100.0,,Fuzzy matched to: 'Postprocedural pneumothorax' with score 100.0
